Notes-Cullen,Notes-Tuli,Secondary-cit. to add later?,Final status,Comments,Primary or Secondary interaction,Citation Number,Citation Short Description,Region,Location Description,Country,Habitat Type,Lat.,Long.,Elev. (or Range Min),Elev. Range Max,Interaction Type,Interaction Tags,Subject Order,Bat Family,Bat Genus,Bat Species,Plant/Arthropod,Object Class,Object Order,Object Family,Object Genus,Object Species,
C: done 12/28,"T:done. There are two study sites at Palcazu Valley, only separated by 10kms. Coordinates were given for both, but to not separate interactions, set of coordinates here are for Iscozacin. Iscozacin has an elevation of 375 mt and Shiringamazu an elev. of 1086 mt, and that's the range given here. ",,Done,,Primary  ,18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Department of Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira tildae,Plant,,,Piperaceae,Piper,,
C: done 12/28,"T:done. This study reports on bat species captured during another study, Gorchov et al. 1993, so location data is taken from the latest.",,Done,,Primary  ,17,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1993",South America,Centro de Investigaciones Jenaro Herrera,Peru,Forest,-4.9166667,-73.66666667,121,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Hypericaceae,Vismia,Vismia angusta,
C: done 12/28,"T:done. This study reports on bat species captured during another study, Gorchov et al. 1993, so location data is taken from the latest.",,Done,,Primary  ,17,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1993",South America,Centro de Investigaciones Jenaro Herrera,Peru,Forest,-4.9166667,-73.66666667,121,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,Plant,,,Hypericaceae,Vismia,Vismia angusta,
C: done 12/28,"T:done. This study reports on bat species captured during another study, Gorchov et al. 1993, so location data is taken from the latest.",,Done,,Primary  ,17,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1993",South America,Centro de Investigaciones Jenaro Herrera,Peru,Forest,-4.9166667,-73.66666667,121,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Plant,,,Urticaceae,Cecropia,Cecropia distachya,
Done,"T:done. Name and coordinates are given, elevation was calculated by mapping the site.",,Done,,Primary  ,19,"August, P. V. ,1981",South America,Fundo Pecuario Masaguara,Venezuela,Savanna,8.600032,-67.615356,103,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus trigonata,
Done,"T:done. Name and coordinates are given, elevation was calculated by mapping the site.",,Done,,Primary  ,21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Visitation,Flower,Chiroptera,Pteropodidae,Epomophorus,Epomophorus gambianus,Plant,,,Fabaceae,Parkia,Parkia clappertoniana,
Done,"T:done. Name and coordinates are given, elevation was calculated by mapping the site.",,Done,,Primary  ,21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Visitation,Flower,Chiroptera,Pteropodidae,Nanonycteris,Nanonycteris veldkampii,Plant,,,Fabaceae,Parkia,Parkia clappertoniana,
Done,"T:done. Name and coordinates are given, elevation was calculated by mapping the site.",,Done,,Primary  ,21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Seed Dispersal,Seed,Chiroptera,Pteropodidae,Nanonycteris,Nanonycteris veldkampii,Plant,,,Moraceae,Ficus,Ficus umbellata,
Done,"T:done. Name and coordinates are given, elevation was calculated by mapping the site.",,Done,,Primary  ,21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Seed Dispersal,Seed,Chiroptera,Pteropodidae,Epomophorus,Epomophorus gambianus,Plant,,,Moraceae,Ficus,Ficus umbellata,
C: done 12/28,T:done. Name of site was given. Other location data was found at https://www.bgci.org/worldwide/article/0125/ and mapping coordinates were calculated according to it.,,Done,,Primary  ,24,"Baker, H. G. 1970",Central America,Botanical Garden in Lancetilla,Honduras,Forest,15.740049,-87.455635,20,800,Visitation,Flower,Chiroptera,Phyllostomidae,,,Plant,,,Malvaceae,Durio,Durio zibethinus,
C: done 12/28,T:done. Site was described as near Santa Ana. Coordinates and elevation were not given. It will be to subjective to assign a range without knowing more details- a ramdom search of mapping points in that area can go from around 900 to 1500 masl.  ,,Done,,Primary  ,24,"Baker, H. G. 1970",Central America,Santa Ana-Forest,Costa Rica,Forest,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,,,Plant,,,Fabaceae,Mucuna,Mucuna andreana,
C: done 12/28,"T:done. A description of the site was given with elev. ""Two populations were investigated, respectively 6.5 and 27 km east of Villa Union on the road which leads from that town (in the State of Sinaloa) to Durango. In both cases the sites were less than 200 meters above sea level""",,Done,"Authors investigated two populations, respectively 6.5 and 27 km east of Villa Union on the road which leads from that town (in the State of Sinaloa) to Durango. In both cases the sites were less than 200 meters above sea level",Primary  ,22,"Baker, H. G., R. W. Cruden & I. Baker. 1971",North America,Sinaloa State-Shrubland,Mexico,Shrubland,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris yerbabuenae,Plant,,,Malvaceae,Ceiba,Ceiba acuminata,
C: done 12/29,T:done. Applied loc data- standard for La Selva,,Done,,Primary  ,26,"Banack, S. A., M. H. Horn & A. Gawlicka. 2002",Central America,La Selva Biological Station,Costa Rica,Forest,10.422,-84.015,35,135,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus insipida,
C: done 12/29,T:done. Applied loc data- standard for La Selva,,Done,,Primary  ,26,"Banack, S. A., M. H. Horn & A. Gawlicka. 2002",Central America,La Selva Biological Station,Costa Rica,Forest,10.422,-84.015,35,135,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus watsoni,Plant,,,Moraceae,Ficus,Ficus insipida,
