CitationId,CitationShortDescription,Region,LocationDescription,Country,HabitatType,Lat,Long,Elev,ElevRangeMax,InteractionType,InteractionTags,BatOrder,BatFamily,BatGenus,BatSpecies,Plant/Arthropod,ObjectClass,ObjectOrder,ObjectFamily,ObjectGenus,ObjectSpecies
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Solanaceae,Solanum,Solanum lanceolatum
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plant,,,Clusiaceae,Havetiopsis,Havetiopsis flavida
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Carollia,Uroderma bilobatum,Plant,,,Moraceae,Ficus,
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plant,,,Piperaceae,Pothomorphe,Pothomorphe peltata
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Uroderma,Uroderma magnirostrum,Plant,,,Piperaceae,Pothomorphe,Pothomorphe peltata
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,Plant,,,Piperaceae,Piper,
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plant,,,Piperaceae,Piper,
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla pumilio,Plant,,,Piperaceae,Piper,
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Hypericaceae,Vismia,
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus obscurus,Plant,,,Urticaceae,Cecropia,Cecropia membranacea
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus obscurus,Plant,,,Moraceae,Ficus,
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plant,,,Urticaceae,Cecropia,Cecropia membranacea
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,Plant,,,Hypericaceae,Vismia,
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,Plant,,,Moraceae,Ficus,
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,Plant,,,Hypericaceae,Vismia,
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Hypericaceae,Vismia,
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Platyrrhinus helleri,Plant,,,Urticaceae,Cecropia,Cecropia ficifolia
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,
16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plant,,,Moraceae,Ficus,
18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Department of Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla fischerae,Plant,,,Solanaceae,,
18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Department of Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla fischerae,Plant,,,Urticaceae,Cecropia,
18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Department of Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,
18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Department of Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla pumilio,Plant,,,Urticaceae,Cecropia,
18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Department of Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Sturnira,Sturnira tildae,Plant,,,Piperaceae,Piper,
17,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1993",South America,Centro de Investigaciones Jenaro Herrera,Peru,Forest,-4.9166667,-73.66666667,121,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Hypericaceae,Vismia,Vismia angusta
17,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1993",South America,Centro de Investigaciones Jenaro Herrera,Peru,Forest,-4.9166667,-73.66666667,121,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,Plant,,,Hypericaceae,Vismia,Vismia angusta
17,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1993",South America,Centro de Investigaciones Jenaro Herrera,Peru,Forest,-4.9166667,-73.66666667,121,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Plant,,,Urticaceae,Cecropia,Cecropia distachya
19,"August, P. V. ,1981",South America,Fundo Pecuario Masaguara,Venezuela,Savanna,8.600032,-67.615356,103,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus trigonata
21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Visitation,"Primary  , Flower",Chiroptera,Pteropodidae,Epomophorus,Epomophorus gambianus,Plant,,,Fabaceae,Parkia,Parkia clappertoniana
21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Visitation,"Primary  , Flower",Chiroptera,Pteropodidae,Nanonycteris,Nanonycteris veldkampii,Plant,,,Fabaceae,Parkia,Parkia clappertoniana
21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Seed Dispersal,"Primary  , Seed",Chiroptera,Pteropodidae,Nanonycteris,Nanonycteris veldkampii,Plant,,,Moraceae,Ficus,Ficus umbellata
21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Seed Dispersal,"Primary  , Seed",Chiroptera,Pteropodidae,Epomophorus,Epomophorus gambianus,Plant,,,Moraceae,Ficus,Ficus umbellata
24,"Baker, H. G. 1970",Central America,Botanical Garden in Lancetilla,Honduras,Forest,15.740049,-87.455635,20,800,Visitation,"Primary  , Flower",Chiroptera,Phyllostomidae,,,Plant,,,Malvaceae,Durio,Durio zibethinus
24,"Baker, H. G. 1970",Central America,Santa Ana,Costa Rica,Forest,,,,,Visitation,"Primary  , Flower",Chiroptera,Phyllostomidae,,,Plant,,,Fabaceae,Mucuna,Mucuna andreana
22,"Baker, H. G., R. W. Cruden & I. Baker. 1971",North America,"Villa Union, Sinaloa State",Mexico,Shrubland,,,200,,Visitation,"Primary  , Flower",Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris yerbabuenae,Plant,,,Malvaceae,Ceiba,Ceiba acuminata
26,"Banack, S. A., M. H. Horn & A. Gawlicka. 2002",Central America,La Selva Biological Station,Costa Rica,Forest,10.422,-84.015,35,135,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus insipida
