Citation ID,Citation Short Description,Full Text,Authors,Year,Title,Publication Title,Publication Type,Publisher,Volume,Issue,Pages
309,"Vogel, S., A. V. Lopes & I. C. Machado. 2005","Vogel, S., A. V. Machado & A. V. Lopes. 2005. Bat pollination in the NE Brazilian endemic Mimosa lewisii: an unusual case and first report for the genus. Taxon 54: 693-700.","Vogel, Machado, Lopes",2005,Bat pollination in the NE Brazilian endemic Mimosa lewisii: an unusual case and first report for the genus,--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,54,693-700
310,"Vogel, S. 1958","Vogel, S. 1958. Fledermausblumen in Sudamerika. Osterr. Bot. Z. 104: 491-530.",Vogel,1958,Fledermausblumen in Sudamerika,--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,104,491-530
311,"Vogel, S. 1990","Vogel, S. 1990. Radiacion adaptiva del sindrome floral en las familias Neotropicales. Bol. Acad. Nac. Cienc. Cordoba, Argentina 59: 5-30.",Vogel,1990,Radiacion adaptiva del sindrome floral en las familias Neotropicales,--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,59,5-30
312,"von Helversen, O. & H. U. Reyer. 1984","von Helversen, O. & H. U. Reyer. 1984. Nectar intake and energy expenditure in a flower visiting bat. Oecologia 63: 178-184.","Reyer, von Helversen(O)",1984,Nectar intake and energy expenditure in a flower visiting bat,Oecologia,--Pub-Type-,--Publisher-,--Volume-,63,178-184
313,"von Helversen, O. & C. C. Voigt. 2002","von Helversen, O. & C. C. Voigt. 2002. Glossophagine bat pollination in Helicteres baruensis (Sterculiaceae). Ecotropica 8: 23-30.","Voigt, von Helversen(O)",2002,Glossophagine bat pollination in Helicteres baruensis (Sterculiaceae),Ecotropica,--Pub-Type-,--Publisher-,--Volume-,8,23-30
314,"von Helversen, D. & O. von Helversen. 1999","von Helversen, D. & O. von Helversen. 1999. Acoustic guide in bat-pollinated flower. Nature 398: 759-760.","von Helversen(D), von Helversen(O)",1999,Acoustic guide in bat-pollinated flower,Nature,--Pub-Type-,--Publisher-,--Volume-,398,759-760
315,"von Helversen, O. 1993","von Helversen, O. 1993. Adaptations of flowers to the pollination by glossophagine bats. In Animal-plant interactions in tropical environments (W. Barthlott, C.M. Naumann, K. Schmidt-Loske & K.L. Schuchmann, ed.). Zoologisches Forschungsinstitut und Museum Alexander Koenig. Pages 41-59",von Helversen(O),1993,Adaptations of flowers to the pollination by glossophagine bats,Animal-plant interactions in tropical environments,--Pub-Type-,--Publisher-,--Volume-,--Issue-,41-59
316,"Voss, R. et al. 1980","Voss, R., M. Turner, R. Inouye, M. Fisher & R. Cort. 1980. Floral biology of Markea neurantha Hemsley (Solanaceae), a bat-pollinated epiphyte. Amer. Midl. Naturalist 103: 262-268.","Voss, Turner, Inouye, Fisher(M), Cort",1980,"Floral biology of Markea neurantha Hemsley (Solanaceae), a bat-pollinated epiphyte",--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,103,262-268
321,"Wendeln, M. C., J. R. Runkle & E. K. V. Kalko. 2000","Wendeln, M. C., J. R. Runkle & E. K. V. Kalko. 2000. Nutritional values of 14 fig species and bat feeding preferences in Panama. Biotropica 32: 489-501.","Kalko, Runkle, Wendeln",2000,Nutritional values of 14 fig species and bat feeding preferences in Panama,Biotropica,--Pub-Type-,--Publisher-,--Volume-,32,489-501
322,"Wilkinson, G. S. 1992","Wilkinson, G. S. 1992. Vocal advertisement and group foraging in greater spear-nosed bats. Bat Research News 33: 80.",Wilkinson,1992,Vocal advertisement and group foraging in greater spear-nosed bats,Bat Research News,--Pub-Type-,--Publisher-,--Volume-,33,80
